dataset_id,dataset,variable_id,variable,type,description
1,cases,1,key_id,numeric,An ID number that uniquely identifies each observation in the dataset. 
1,cases,2,case_id,string,An ID number that uniquely identifies each case.
1,cases,3,case_number,numeric,The number of the case.
1,cases,4,case_year,numeric,The year of the case.
1,cases,5,member_state_id,numeric,An ID number that uniquely identifies each member state. This ID number is assigned when member states are sorted by accession date and then alphabetically. 
1,cases,6,member_state,string,The name of the member state that the Commission opened the case against. 
1,cases,7,member_state_code,string,A two letter code assigned by the Commission that uniquely identifies each member state. 
1,cases,8,department_id,numeric,An ID number that uniquely identifies each Commission department.
1,cases,9,department,string,The name of the Commission department that opened the infringement case.
1,cases,10,department_code,string,A multi-letter code assigned by the Commission that uniquely identifies each department.
1,cases,11,directive,dummy,"A dummy variable indicating whether the description of the infringement case provided by the Commission references a directive that the case relates to. Directive numbers have the format {####/####}, where the first set of numbers is the year the directive was enacted and the second set is the number of the directive."
1,cases,12,directive_number,string,"The number of the directive that the infringement case relates to, if applicable. Coded {NA} if the description of the case provided by the Commission does not reference a specific directive number."
1,cases,13,celex,string,"The CELEX number of the directive that the infringement case relates to, if applicable. Coded {NA} if the description of the case provided by the Commission does not reference a specific directive number. CELEX numbers for directives have the format {3####L####}, where the first set of numbers is the year the directive was enacted and the second set is the number of the directive."
1,cases,14,case_type_id,numeric,"An ID number that uniquely identifies each type of state aid cases. Coded {1} for noncommunication cases, which are cases that relate to a member state failing to notify the Commission that it has transposed a directive by the stated deadline. Coded {2} for nonconformity cases, which are cases that relate to a member state incorrectly transposing a directive. "
1,cases,15,case_type,string,The type of the infringement case. There are two types of cases. Coded {noncommunication} for cases that relate to a member state failing to notify the Commission that it has transposed a directive by the stated deadline. Coded {nonconformity} for cases that relate to a member state incorrectly transposing a directive. 
1,cases,16,noncommunication,dummy,"A dummy variable indicating whether the infringement case is a noncommunication case, which is a case that relates to a member state failing to notify that Commission that it has transposed a directive by the stated deadline."
1,cases,17,nonconformity,dummy,"A dummy variable indicating whether the infringement case is a nonconformity case, which is a case that relates to a member state incorrectly transposing a directive."
1,cases,18,complete,dummy,"A dummy variable indicating whether the public records published by the Commission about the case are complete in that they include a record of a letter of formal notice under Article 258 of the Treaty of the Functioning of the European Union (TFEU), a record of the closing of the case, and a record of any stages of the infringement procedure in between. "
